970,I've been playing for years this is some dope game I tell ya! But takes up too much space... Please do something about that
1006,The game is kinda cool but the graphics are kinda good but its pretty cool it will have very new update but I love this game so much I rate 5 stars keep playing guys!!
1011,This game is dumb because it keeps laging and people cusses alot and you know whats stupid the owner of PixelGun3D is banning people for no reason! Wtf!! Don't let your kids play this game because they will learn bad stuff!!!
1032,Pretty good game.
1037,This game is the best game I every played its addictive and very fun if I had to download only two games in the world this would be one of em
1051,"The Game Is Fine, Its The Lucky Chest I Hate,I Keep On Getting  Coins And Gems,Even When I Won A Gun I Still Got Coins.Please Fix This I Don't Wanna Keep On Getting Stuff Like That. Also I Think Its Going On With The Lottery Too If I'm Not Sure.2 Stars For Now Till You Fix This."
1067,This game is drugs
1077,Super fun game. The only thing is that they should add a private server mode to play only with friends
1106,I love wis game
1109,This is a great game the only problem I have with it though is that you have to get have a chest in order to play 1v1 this is pretty annoying especially when I just want to get in a quick game and haven't played for a while😥
1120,I love this game
1123,It is AWSOME but the controls are weired......bit great game ☺☺☺
1126,Best game ever make about her one
1129,It is the best shooting game ever
1136,Its a fun game but some times its crashes 4 me in a game idk why
1143,I was so happy to get this game
1145,This game just took my MB and then it does't instal pleas fix these game.
1146,I like the online game
1154,It's super addictive and fun it's just then the updates are the same size as the game itself
1157,"It is very stressful now, I keep leveling up and buying new weapons, then all of a sudden, everyone is very powerful. I buy very powerful guns, and it takes forever to kill someone, but when someone uses something weak like the Automatic Peacemaker, and I am level 35, they kill me within a few 12 bullets. This game was good, but with all the crap updates...I am sorry... but this is not ok, I barely play, I only play because my friends still like it. It is not challenging anymore, just stressful."
1161,Great game overall but they should make it easier to earn gems I spent over 200 bucks and I eventually got banned
1169,I like the game but can we make our own game mode like creating a sandbox and add three types of female zombies
1171,Cool download it I am addicted to this game
1179,I love this game because you can play with others and if you like shooting games heres a good game for you
1181,This is the game of the future. Hand held multiplayer shooter that can be played ofline and is for all ages
1187,Good everything BEST GAME EVER
1200,I hate this fucking game because it doesnt let me update it 👎👎👎💩💩
1215,Increase the exp and coins you get when you win a game
1225,It is a cool game i realy liked it its fun too 😜😝😛😄😃😀
1240,"Yhae what the freak do you do for a living try this make it less dumb you piece of craps and WHY I mean I gotta give it to you the graphics are good but everything else looks like it came from the sewer and hey 4 months ago I shatterd my tablet screen because of this game I've never seen anything so rage inducing and here's something else I mean you just said hey ""why don't we just make everthing only bill Gates can afford"" so here's some advice make more offers that are less than 10 bucks oh and one more thing yha I only say this when someone's making me mad or when I'm trying to be funny HA HA but yha FRICK YOU"
1243,It's telling me to update my game but when I go too the play store it says open and un install
1247,I think this is a absolute great game for children to play in mobile devices. It could have some mini games with other players in it though.
1252,Love this game it makes me hype😆.
1254,Awsome I am good at this game
1281,I love this game best first person  shooter 👍👍👍👍👍👍
1286,Its fun wh3n you kill someone in the game but when someon kill you in the game is not fun or sort off.
1292,Love this game!💖💖
1293,The best game on android
1302,Coolest game ever I don't know what anyone can live without playing it
1303,It's a very fun game and I enjoy to play it
1310,I love this game but it will not let me update it when I need to so I have to delete it and install it again and I don't have a army button so I'm kinda mad about that but I love the game nice work u guys😁👍👍👌👌👏👏👊
1311,would not let me update the game
1320,IT IS THE BEST GAME EVER
1325,GUYS THIS GAME CANT GET LIKE ANYBETTER ITS TO GIID NOT TO MANY ADS OR NOTHING
1337,This game is awesome I starred playing when I was only six you guys rock
1363,Its just is the game to play :)
1364,Nice game and btw can you add third person?
1365,I love this game
1370,It is the best game I ever played
1372,Its the best game i the world
1377,"The controls are good, but confusing. GOOD GAME THO PPL"
1385,I can't load any progress from an Android phone to another this is bad please help i want to put money into the game but i know it won't load to another device
1388,I'm not a teenager I'm only 7 years old and you should make it so I can never get this game.
1419,I really love this game i just want to play all the time 💖💖💖💖💖💖💖💖👍👍👍👍👍😎😎😎😎😎
1424,Look I updated the games already but it keeps saying update game for new content but guess what! WHEN I COME TO UDATE IT SAY GAME HAS BEEN UPDATED! PLZ FIX I HAVE A LOT OF CLAN CHESTS TO UNLOCK!
1426,Cool game like the update
