,Unnamed: 0,Rating,Review,lang,cleaned
80317,3158,5,"Ok so everyone in my clan has the 2/8/18 update and I my iPad wont get the update idk what’s up with it. I have deleted a lot of stuff thinking I need storage and that still didn’t work. I don’t know what or how to update it now b/c there’s no update button like my clan members are telling me. Since I’m the clan leader I need to be in the sieges but I can’t b/c of the update. If you could please try to fix this ( I also can’t play with my friends b/c they have the update and it says “version mismatch”). But if there’s someone here trying to find out if this game is worth downloading, I would say DEFINITELY! This game is amazing and you know, all games have glitches. I love this game so much b/c I can communicate with friends and build friendships. This game is amazing and I love it. I play it 24/7.",en,"Ok so everyone in my clan have the 2/8/18 update and I my iPad wont get the update idk what ’ s up with it . I have delete a lot of stuff thinking I need storage and that still didn ’ t work . I don ’ t know what or how to update it now b/c there ’ s no update button like my clan member be tell me . Since I ’ m the clan leader I need to be in the siege but I can ’ t b/c of the update . If you could please try to fix this ( I also can ’ t play with my friend b/c they have the update and it say “ version mismatch ” ) . But if there ’ s someone here try to find out if this game be worth download , I would say DEFINITELY exclamation_point This game be amazing and you know , all game have glitch . I love this game so much b/c I can communicate with friend and build friendship . This game be amazing and I love it . I play it 24/7 ."
80318,3159,5,I love this game,en,I love this game
80319,3160,5,You guys made it so fun and great. Continue people and you can reach your goal of being the best game ever,en,You guy make it so fun and great . Continue people and you can reach your goal of be the best game ever
80320,3161,4,U got Clickbaited,en,U get Clickbaited
80322,3163,1,"The fact that the update was released a while ago for samsung annoys me because I want to play with my friends, BUT I can't. So please hurry up already...",en,"The fact that the update be release a while ago for samsung annoys me because I want to play with my friend , BUT I ca n't . So please hurry up already ..."
80323,3164,4,The guardian is WAY to overpowered. I wish their was more ways to get gems and you should be able to buy gem weapons. I know you guys need to make money but I am just saying it is annoying when you face a team that has the gem guns and you are stuck with coin guns. Like for example the reflector and laser bouncer if you have the laser bouncer you can kill people in like one or two shots. But unlike the reflector it is one shot. So if you are rich and you parents give you money nonstop you will be great at the game.,en,The guardian be WAY to overpower . I wish their be more way to get gem and you should be able to buy gem weapon . I know you guy need to make money but I be just say it be annoy when you face a team that have the gem gun and you be stick with coin gun . Like for example the reflector and laser bouncer if you have the laser bouncer you can kill people in like one or two shot . But unlike the reflector it be one shot . So if you be rich and you parent give you money nonstop you will be great at the game .
80324,3165,5,This game is so amazing that I make YouTube videos about it,en,This game be so amazing that I make YouTube video about it
80326,3167,2,You guys killed the game. Losing trophies when you lose/quit game. Melee weapons are now useless. This is a pay to win game nowadays plus the “coming soon” in the campaign has been there for soooo long. Everyone has OP weapons when you’re restarting the game cause if dumb choices you made and now this sucks. This game is dead. Still kinda fun sometimes...,en,You guy kill the game . Losing trophy when you lose/quit game . Melee weapon be now useless . This be a pay to win game nowadays plus the “ come soon ” in the campaign have be there for soooo long . Everyone have OP weapon when you ’ re restart the game cause if dumb choice you make and now this suck . This game be dead . Still kinda fun sometimes ...
80327,3168,5,Please add polish language!!!!!,en,Please add polish language exclamation_point exclamation_point exclamation_point exclamation_point exclamation_point
80329,3170,5,I think that you should add a furistic armour to make you game better,en,I think that you should add a furistic armour to make you game well
