1608,I think it is like Minecraft and is awesome and I love it
1628,I'm lvl 13 and it matches me up with people around lvl 22. Unfair matchmaking making it almost impossible to win
1629,Its awesome its awesome its awesome
1630,It is cool and sick
1631,I love graphics
1637,Hi I am the first comment
1642,It's a good gameplay and time passer
1644,Too much mb but besides that it's great
1657,I play it all the time
1660,Its lit
1661,"On my older phone I could get my data back, but on my new phone I can't!"
1662,Trash
1666,I love the gun and the laser Bob
1671,I can't explain it is just amazing
1673,GET RID OF THE MEGA GUN REMOVE GEMS REMOVE ARMOUR MAKE IT THW WAY IT WAS
1688,It is fun to play and great time killer
1711,It is really cool
1714,Love it so much
1718,Its fun
1720,It is so so awsome please give me gems and coins how much what ever you want
1721,Play it is fun Fun
1723,The best first person shooter I've ever used install for free
1727,Recommend a friend. Great campaign but should come out with new world...
1730,Addictive so fun
1756,Its grate
1757,NECESITO AYUDA VOLVI A INSTALAR EL JUEGO  Y C ME RESTABLECIERON MIS ARMAS MI NVL PERO MIS COPAS NO AYUDA
1762,It is AWESOME!!!!!!!!!!!!!!!!
1783,Cool
1786,Love it
1788,Great for free time
1795,It's fun on sand box
1808,Thanks for the app
1810,it was awesome good graphics controller and multiplayer
1825,Its very fun addictive and you can join clans
1843,Is one of the best but I think that u could make it better by stopping the lag that the server gives
1845,Very fun it has good graphics I hope they're make some cool updates
1847,Cool
1849,I love but add more  guns I'm  not  lieing more guns  please
1880,I think every one should download it and have fun
1882,The pets are sooo cute and very helpful.you can train them to become strong its really amazing and you can have support also gadgets  to help you and your pet too. really fun.also you have leagues and a new mode called Duel its sooo amazing.
1884,It's fricken awesome
1892,Wow I like battles and guns but  my parents dont let me use real guns because guns are bad for eight  year olds only nine year olds can use guns
1896,It's fun as in fun
1900,Is so cool to play but it always tell you to buy something  that when you buy that you look to see it but you not see it it tell you that you not buy
1901,Weapons are too expensive
1904,I mean it's alright
1907,Cool
1909,Well first it's amazing but some parts were impossible
1913,"Would be all 5 stars, but I got a new phone and lost most of my good guns. I kept some, but lost one shot, golden friends, etc..."
